dt,standard,rapid,blitz,aggregate_total_games,aggregate_wins,aggregate_draws,aggregate_losses,aggregate_win_ratio,aggregate_draw_ratio,aggregate_loss_ratio,white_total,white_wins,white_draws,white_losses,black_total,black_wins,black_draws,black_losses,standard_fmt_total,standard_fmt_wins,standard_fmt_draws,standard_fmt_losses,rapid_fmt_total,rapid_fmt_wins,rapid_fmt_draws,rapid_fmt_losses,blitz_fmt_total,blitz_fmt_wins,blitz_fmt_draws,blitz_fmt_losses
2003-04-01,2356,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2003-07-01,2385,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2003-10-01,2450,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2004-01-01,2484,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2004-04-01,2552,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2004-07-01,2567,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2004-10-01,2581,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2005-01-01,2553,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2005-04-01,2548,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2005-07-01,2528,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2005-10-01,2570,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2006-01-01,2625,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2006-04-01,2646,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2006-07-01,2675,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2006-10-01,2698,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2007-01-01,2690,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2007-04-01,2693,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2007-07-01,2710,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2007-10-01,2714,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2008-01-01,2733,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2008-04-01,2765,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2008-07-01,2775,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2008-10-01,2786,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2009-01-01,2776,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2009-04-01,2770,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2009-07-01,2772,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2009-09-01,2772,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2009-11-01,2801,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2010-01-01,2810,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2010-03-01,2813,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2010-05-01,2813,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2010-07-01,2826,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2010-09-01,2826,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2010-11-01,2802,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2011-01-01,2814,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2011-03-01,2815,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2011-05-01,2815,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2011-07-01,2821,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2011-09-01,2823,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2011-11-01,2826,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
2012-01-01,2835,,,2142,951,964,227,44.4%,45.0%,10.6%,1079,567,407,105,1063,384,557,122,1094,404,598,92,413,196,169,48,633,350,196,87
